doc_id	genre	t_span	t_entity_text	t_entity_type	t_infostat	t_coref_type	t_head_form	t_head_lemma	t_head_deprel	t_head_xpos	t_head_number	t_sent_id	t_head_sent_id	t_head_doc_position	n_span	n_entity_text	n_entity_type	n_infostat	n_coref_type	n_head_form	n_head_lemma	n_head_deprel	n_head_xpos	n_head_number	n_sent_id	n_head_sent_id	n_head_doc_position	t_n_entity_type	t_n_head_lemma	t_n_head_deprel	t_n_head_xpos	t_n_head_number	t_n_dist	coref	bridge	bridge_type
vpc_0301	vpc	['10-9', '10-10']	the dollar	abstract	old	coref	dollar	dollar	obl	NN	Sing	10	10	243	['11-20']	dollar	abstract	old	coref	dollar	dollar	compound	NN	Sing	11	20	274	abstract_abstract	dollar_dollar	obl_compound	NN_NN	Sing_Sing	31	1	0	
vpc_0766	vpc	['70-9', '70-10']	her own	person	old	coref	her	her	nmod:poss	PRP$	Sing	70	9	1783	['71-2', '71-3']	Ms. Johnson	person	old	coref	Ms.	Ms.	obl	NNP	Sing	71	2	1789	person_person	her_Ms.	nmod:poss_obl	PRP$_NNP	Sing_Sing	6	1	0	
vpc_0301	vpc	['26-48']	interest	abstract	old	coref	interest	interest	compound	NN	Sing	26	48	754	['34-6']	interest	abstract	old	coref	interest	interest	compound	NN	Sing	34	6	994	abstract_abstract	interest_interest	compound_compound	NN_NN	Sing_Sing	240	1	0	
wsjarrau_1305	wsjarrau	['19-22']	employee	person	old	coref	employee	employee	compound	NN	Sing	19	22	553	['22-17']	pilot	person	new	coref	pilot	pilot	compound	NN	Sing	22	17	594	person_person	employee_pilot	compound_compound	NN_NN	Sing_Sing	41	0	1	bridge:element
wsjarrau_1394	wsjarrau	['27-6', '27-7', '27-8']	his 70,000 workers	person	old	coref	workers	worker	obl	NNS	Plur	27	8	648	['28-1', '28-2', '28-3', '28-4', '28-5', '28-6', '28-7', '28-8', '28-9', '28-10', '28-11', '28-12', '28-13', '28-14', '28-15', '28-16', '28-17', '28-18', '28-19', '28-20', '28-21', '28-22', '28-23', '28-24', '28-25', '28-26', '28-27', '28-28']	James Cleveland , a courier who earned a Bravo Zulu for figuring out how to get a major customer 's 1,100-parcel-a-week load to its doorstep by 8 a.m.	person	new	coref	James	James	nsubj	NNP	Sing	28	1	659	person_person	worker_James	obl_nsubj	NNS_NNP	Plur_Sing	11	0	1	bridge:element
wsjarrau_1377	wsjarrau	['9-2', '9-3']	car marketers	organization	old	coref	marketers	marketer	obl	NNS	Plur	9	3	194	['46-7', '46-8']	Ted Negas	person	new	coref	Ted	Ted	nsubj	NNP	Sing	46	7	1173	organization_person	marketer_Ted	obl_nsubj	NNS_NNP	Plur_Sing	979	0	1	bridge:subset
wsjarrau_1367	wsjarrau	['28-1']	I	person	old	coref	I	I	nsubj	PRP	Sing	28	1	794	['50-1']	Her	person	old	coref	Her	her	nmod:poss	PRP$	Sing	50	1	1326	person_person	I_her	nsubj_nmod:poss	PRP_PRP$	Sing_Sing	532	1	0	
wsjarrau_1128	wsjarrau	['22-6', '22-7', '22-8']	Red Delicious apples	concrete	old	coref	apples	apple	nsubj:pass	NNS	Plur	22	8	464	['26-30', '26-31', '26-32', '26-33', '26-34', '26-35', '26-36']	just-picked Red Delicious next to his barn	concrete	old	coref	next	next	nmod	JJ		26	33	627	concrete_concrete	apple_next	nsubj:pass_nmod	NNS_JJ	Plur_N/A	163	1	0	
wsjarrau_1334	wsjarrau	['10-27', '10-28', '10-29', '10-30', '10-31', '10-32', '10-33', '10-34', '10-35', '10-36', '10-37']	the representatives , who sell Integrated 's insurance and mutual-fund products	person	old	coref	representatives	representative	obl	NNS	Plur	10	28	253	['11-7', '11-8']	the representatives	person	old	coref	representatives	representative	nsubj	NNS	Plur	11	8	271	person_person	representative_representative	obl_nsubj	NNS_NNS	Plur_Plur	18	1	0	
wsjarrau_1302	wsjarrau	['6-6', '6-7']	Lloyd 's	organization	old	coref	Lloyd	Lloyd	nsubj:pass	NNP	Sing	6	6	120	['47-1', '47-2']	The exchange	organization	old	coref	exchange	exchange	obl:npmod	NN	Sing	47	2	1275	organization_organization	Lloyd_exchange	nsubj:pass_obl:npmod	NNP_NN	Sing_Sing	1155	1	0	
wsjarrau_1320	wsjarrau	['40-9', '40-10', '40-11', '40-12', '40-13', '40-14', '40-15']	the improved harvest weather over the weekend	abstract	new	sgl	weather	weather	root	NN	Sing	40	12	916	['50-18', '50-19']	the day	time	old	coref	day	day	obl	NN	Sing	50	19	1207	abstract_time	weather_day	root_obl	NN_NN	Sing_Sing	291	0	0	
wsjarrau_1157	wsjarrau	['28-1']	Insider	person	old	coref	Insider	insider	compound	NN	Sing	28	1	591	['29-34']	Invest/Net	organization	old	coref	Invest/Net	Invest/Net	nmod	NNP	Sing	29	34	674	person_organization	insider_Invest/Net	compound_nmod	NN_NNP	Sing_Sing	83	0	0	
wsjarrau_1190	wsjarrau	['26-10']	Showtime	organization	old	coref	Showtime	Showtime	obj	NNP	Sing	26	10	644	['27-1']	Showtime	organization	old	coref	Showtime	Showtime	nsubj	NNP	Sing	27	1	653	organization_organization	Showtime_Showtime	obj_nsubj	NNP_NNP	Sing_Sing	9	1	0	
wsjarrau_1155	wsjarrau	['4-15', '4-16', '4-17', '4-18', '4-19', '4-20', '4-21', '4-22']	announcing improved net income for the third quarter	abstract	new	sgl	announcing	announce	advcl	VBG		4	15	112	['16-4']	Cray	organization	old	coref	Cray	Cray	nsubj	NNP	Sing	16	4	421	abstract_organization	announce_Cray	advcl_nsubj	VBG_NNP	N/A_Sing	309	0	0	
wsjarrau_1394	wsjarrau	['53-9']	his	person	old	coref	his	his	nmod:poss	PRP$	Sing	53	9	1318	['71-1', '71-2']	Mr. Smith	person	old	coref	Mr.	Mr.	nsubj	NNP	Sing	71	1	1739	person_person	his_Mr.	nmod:poss_nsubj	PRP$_NNP	Sing_Sing	421	1	0	
wsjarrau_1320	wsjarrau	['11-9', '11-10']	a seal	concrete	new	sgl	seal	seal	nsubj	NN	Sing	11	10	260	['18-24', '18-25', '18-26', '18-27', '18-28', '18-29', '18-30']	a drop of 10,000 to 15,000 tons	none	new	sgl	drop	drop	parataxis	NN	Sing	18	25	398	concrete_none	seal_drop	nsubj_parataxis	NN_NN	Sing_Sing	138	0	0	
vpc_0761	vpc	['11-34', '11-35', '11-36', '11-37', '11-38', '11-39', '11-40', '11-41']	65 % of the land devoted to housing	abstract	new	sgl	%	%	obj	NN	Sing	11	35	296	['12-10', '12-11', '12-12', '12-13', '12-14', '12-15', '12-16']	only about a third of Korean families	none	new	sgl	only	only	advmod	RB		12	10	313	abstract_none	%_only	obj_advmod	NN_RB	Sing_N/A	17	0	0	
wsjarrau_1322	wsjarrau	['30-10', '30-11']	Treasury bill	abstract	new	coref	bill	bill	compound	NN	Sing	30	11	754	['31-13']	discount	abstract	new	coref	discount	discount	compound	NN	Sing	31	13	776	abstract_abstract	bill_discount	compound_compound	NN_NN	Sing_Sing	22	0	0	
wsjarrau_1367	wsjarrau	['27-27']	your	person	old	coref	your	your	nmod:poss	PRP$		27	27	783	['45-12']	your	person	old	coref	your	your	nmod:poss	PRP$		45	12	1271	person_person	your_your	nmod:poss_nmod:poss	PRP$_PRP$	N/A_N/A	488	1	0	
wsjarrau_1944	wsjarrau	['11-13', '11-14', '11-15']	James River Corp.	organization	new	coref	River	River	nmod	NNP	Sing	11	14	263	['14-9', '14-10', '14-11']	the firm 's	organization	old	coref	firm	firm	nmod:poss	NN	Sing	14	10	337	organization_organization	River_firm	nmod_nmod:poss	NNP_NN	Sing_Sing	74	1	0	
wsjarrau_1149	wsjarrau	['26-4', '26-5']	Princeton/Newport officials	none	new	sgl	officials	official	root	NNS	Plur	26	5	585	['26-4', '26-5', '26-6', '26-7', '26-8', '26-9', '26-10']	Princeton/Newport officials , Drexel and Mr. Milken	none	new	sgl	officials	official	root	NNS	Plur	26	5	585	none_none	official_official	root_root	NNS_NNS	Plur_Plur	0	0	0	
wsjarrau_1146	wsjarrau	['81-12', '81-13']	Polish pork	concrete	new	coref	pork	pork	nmod	NN	Sing	81	13	1351	['105-18']	state	organization	old	coref	state	state	compound	NN	Sing	105	18	1783	concrete_organization	pork_state	nmod_compound	NN_NN	Sing_Sing	432	0	0	
wsjarrau_0664	wsjarrau	['34-1', '34-2']	Mr. Thompson	person	old	coref	Mr.	Mr.	nsubj	NNP	Sing	34	1	899	['43-4']	his	person	old	coref	his	his	nmod:poss	PRP$	Sing	43	4	1140	person_person	Mr._his	nsubj_nmod:poss	NNP_PRP$	Sing_Sing	241	1	0	
wsjarrau_1302	wsjarrau	['23-36', '23-37']	Lloyd 's	organization	old	coref	Lloyd	Lloyd	nsubj	NNP	Sing	23	36	606	['53-2', '53-3']	Lloyd 's	organization	old	coref	Lloyd	Lloyd	nmod:poss	NNP	Sing	53	2	1374	organization_organization	Lloyd_Lloyd	nsubj_nmod:poss	NNP_NNP	Sing_Sing	768	1	0	
vpc_0765	vpc	['82-4']	he	person	old	coref	he	he	nsubj	PRP	Sing	82	4	2811	['84-24', '84-25', '84-26']	Mr. Dinkins `s	person	old	coref	Mr.	Mr.	nmod:poss	NNP	Sing	84	24	2881	person_person	he_Mr.	nsubj_nmod:poss	PRP_NNP	Sing_Sing	70	1	0	
vpc_0761	vpc	['28-26', '28-27']	capital gains	abstract	new	sgl	gains	gain	nmod	NNS	Plur	28	27	730	['31-13', '31-14']	business leaders	person	new	coref	leaders	leader	nmod	NNS	Plur	31	14	802	abstract_person	gain_leader	nmod_nmod	NNS_NNS	Plur_Plur	72	0	1	bridge:unmarked
wsjarrau_1375	wsjarrau	['14-16']	investors	person	old	coref	investors	investor	nsubj	NNS	Plur	14	16	423	['19-19', '19-20', '19-21', '19-22', '19-23']	the market 's traditional investors	person	new	coref	investors	investor	nmod	NNS	Plur	19	23	636	person_person	investor_investor	nsubj_nmod	NNS_NNS	Plur_Plur	213	0	1	bridge:subset
wsjarrau_0692	wsjarrau	['9-8']	this	abstract	new	sgl	this	this	nsubj	DT	Sing	9	8	216	['12-12']	dreams	abstract	new	sgl	dreams	dream	conj	NNS	Plur	12	12	276	abstract_abstract	this_dream	nsubj_conj	DT_NNS	Sing_Plur	60	0	0	
wsjarrau_1368	wsjarrau	['16-7']	U.S.	place	old	coref	U.S.	U.S.	compound	NNP	Sing	16	7	521	['17-1', '17-2']	The U.S.	place	old	coref	U.S.	U.S.	nsubj	NNP	Sing	17	2	549	place_place	U.S._U.S.	compound_nsubj	NNP_NNP	Sing_Sing	28	1	0	
wsjarrau_0617	wsjarrau	['16-6', '16-7']	the authors	person	new	coref	authors	author	nmod	NNS	Plur	16	7	388	['20-14']	their	person	old	coref	their	their	nmod:poss	PRP$	Plur	20	14	508	person_person	author_their	nmod_nmod:poss	NNS_PRP$	Plur_Plur	120	1	0	
wsjarrau_1142	wsjarrau	['18-9']	stocks	abstract	new	coref	stocks	stock	nmod	NNS	Plur	18	9	450	['19-19']	shares	abstract	new	coref	shares	share	obj	NNS	Plur	19	19	479	abstract_abstract	stock_share	nmod_obj	NNS_NNS	Plur_Plur	29	0	1	bridge:element
wsjarrau_1154	wsjarrau	['77-1']	He	person	old	coref	He	he	nsubj	PRP	Sing	77	1	2061	['77-47', '77-48']	the prosecutor	person	old	coref	prosecutor	prosecutor	nsubj	NN	Sing	77	48	2108	person_person	he_prosecutor	nsubj_nsubj	PRP_NN	Sing_Sing	47	1	0	
wsjarrau_1146	wsjarrau	['61-3', '61-4', '61-5']	rye and potatoes	none	new	sgl	rye	rye	obj	NN	Sing	61	3	1064	['91-1', '91-2', '91-3', '91-4', '91-5']	A private farmer in Poland	person	old	coref	farmer	farmer	nsubj	NN	Sing	91	3	1513	none_person	rye_farmer	obj_nsubj	NN_NN	Sing_Sing	449	0	0	
wsjarrau_1139	wsjarrau	['5-1']	GM	organization	old	coref	GM	GM	nsubj	NNP	Sing	5	1	117	['15-1']	Business	abstract	new	sgl	Business	Business	nsubj	NN	Sing	15	1	408	organization_abstract	GM_Business	nsubj_nsubj	NNP_NN	Sing_Sing	291	0	0	
wsjarrau_1184	wsjarrau	['20-54']	company	organization	old	coref	company	company	compound	NN	Sing	20	54	711	['21-40']	GE	organization	old	coref	GE	GE	advcl	NNP	Sing	21	40	753	organization_organization	company_GE	compound_advcl	NN_NNP	Sing_Sing	42	1	0	
wsjarrau_1302	wsjarrau	['9-32']	policies	abstract	old	coref	policies	policy	obj	NNS	Plur	9	32	238	['37-5', '37-6', '37-7', '37-8', '37-9', '37-10', '37-11', '37-12', '37-13', '37-14', '37-15', '37-16', '37-17', '37-18', '37-19', '37-20', '37-21', '37-22', '37-23', '37-24', '37-25']	such now-standard policies as worker 's compensation insurance , burglary insurance for homeowners and businesses , and bankers ' liability insurance	abstract	new	coref	policies	policy	obj	NNS	Plur	37	7	985	abstract_abstract	policy_policy	obj_obj	NNS_NNS	Plur_Plur	747	0	1	bridge:subset
wsjarrau_1312	wsjarrau	['16-9', '16-10', '16-11', '16-12', '16-13', '16-14', '16-15', '16-16', '16-17', '16-18', '16-19', '16-20', '16-21', '16-22', '16-23', '16-24', '16-25']	a preference item in calculating the federal alternative minimum tax that may be imposed on certain investors	abstract	new	sgl	item	item	obl	NN	Sing	16	11	428	['18-1', '18-2', '18-3', '18-4', '18-5']	The offering , Series 107	abstract	new	coref	Series	Series	nsubj:pass	NNP	Sing	18	4	469	abstract_abstract	item_Series	obl_nsubj:pass	NN_NNP	Sing_Sing	41	0	1	bridge:element
wsjarrau_0672	wsjarrau	['2-34']	Congress	organization	new	sgl	Congress	Congress	nsubj	NNP	Sing	2	34	76	['4-4']	Senate	organization	new	coref	Senate	Senate	compound	NNP	Sing	4	4	129	organization_organization	Congress_Senate	nsubj_compound	NNP_NNP	Sing_Sing	53	0	1	bridge:element
wsjarrau_1377	wsjarrau	['32-14']	each	none	new	sgl	each	each	conj	DT		32	14	815	['35-6', '35-7']	sports cars	concrete	new	coref	cars	car	nmod	NNS	Plur	35	7	856	none_concrete	each_car	conj_nmod	DT_NNS	N/A_Plur	41	0	1	bridge:subset
wsjarrau_1146	wsjarrau	['69-1']	He	person	old	coref	He	he	nsubj	PRP	Sing	69	1	1165	['70-2']	his	person	old	coref	his	his	nmod:poss	PRP$	Sing	70	2	1171	person_person	he_his	nsubj_nmod:poss	PRP_PRP$	Sing_Sing	6	1	0	
vpc_0765	vpc	['46-16', '46-17']	Mr. Dinkins	person	old	coref	Mr.	Mr.	nsubj	NNP	Sing	46	16	1512	['48-21']	his	person	old	coref	his	his	nmod:poss	PRP$	Sing	48	21	1594	person_person	Mr._his	nsubj_nmod:poss	NNP_PRP$	Sing_Sing	82	1	0	
wsjarrau_1320	wsjarrau	['31-10']	auto	concrete	new	coref	auto	auto	compound	NN	Sing	31	10	705	['32-17']	automobile	concrete	old	coref	automobile	automobile	amod	JJ		32	17	731	concrete_concrete	auto_automobile	compound_amod	NN_JJ	Sing_N/A	26	1	0	
wsjarrau_0203	wsjarrau	['5-86', '5-87']	the changes	abstract	old	coref	changes	change	nsubj:pass	NNS	Plur	5	87	199	['8-44', '8-45']	the changes	abstract	old	coref	changes	change	obj	NNS	Plur	8	45	310	abstract_abstract	change_change	nsubj:pass_obj	NNS_NNS	Plur_Plur	111	1	0	
wsjarrau_0203	wsjarrau	['12-23', '12-24']	the SEC	organization	old	coref	SEC	SEC	nmod	NNP	Sing	12	24	394	['18-1']	Companies	organization	new	sgl	Companies	company	nsubj:pass	NNS	Plur	18	1	538	organization_organization	SEC_company	nmod_nsubj:pass	NNP_NNS	Sing_Plur	144	0	0	
vpc_0013	vpc	['1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '1-14', '1-15', '1-16']	the bidding for Public Service Co. of New Hampshire	abstract	new	coref	bidding	bidding	obl	NN	Sing	1	9	9	['1-20', '1-21']	the risks	abstract	new	coref	risks	risk	nsubj	NNS	Plur	1	21	21	abstract_abstract	bidding_risk	obl_nsubj	NN_NNS	Sing_Plur	12	0	1	bridge:element
wsjarrau_1377	wsjarrau	['32-14']	each	none	new	sgl	each	each	conj	DT		32	14	815	['35-9', '35-10']	luxury cars	concrete	new	coref	cars	car	conj	NNS	Plur	35	10	859	none_concrete	each_car	conj_conj	DT_NNS	N/A_Plur	44	0	1	bridge:subset
wsjarrau_1394	wsjarrau	['11-26', '11-27', '11-28', '11-29', '11-30', '11-31']	the powerful Air Line Pilots Association	organization	new	coref	Association	Association	obj	NNP	Sing	11	31	253	['45-28', '45-29']	the decade	time	new	sgl	decade	decade	nmod	NN	Sing	45	29	1138	organization_time	Association_decade	obj_nmod	NNP_NN	Sing_Sing	885	0	0	
wsjarrau_1377	wsjarrau	['26-5', '26-6', '26-7']	the foreign invasion	abstract	new	sgl	invasion	invasion	obj	NN	Sing	26	7	690	['45-4']	automotive	concrete	old	coref	automotive	automotive	amod	JJ		45	4	1125	abstract_concrete	invasion_automotive	obj_amod	NN_JJ	Sing_N/A	435	0	0	
wsjarrau_1367	wsjarrau	['22-46', '22-47']	Russian music	none	new	sgl	music	music	ccomp	NN	Sing	22	47	597	['57-19', '57-20', '57-21', '57-22', '57-23', '57-24', '57-25', '57-26', '57-27', '57-28', '57-29']	her first husband , whom she had divorced 38 years earlier	person	new	coref	husband	husband	obl	NN	Sing	57	21	1474	none_person	music_husband	ccomp_obl	NN_NN	Sing_Sing	877	0	0	
wsjarrau_1322	wsjarrau	['8-51', '8-52', '8-53', '8-54', '8-55', '8-56', '8-57']	bonds , '' which are considered safer	abstract	old	coref	bonds	bond	obl	NNS	Plur	8	51	203	['10-1']	Municipals	abstract	new	coref	Municipals	municipal	nsubj	NNS	Plur	10	1	250	abstract_abstract	bond_municipal	obl_nsubj	NNS_NNS	Plur_Plur	47	0	1	bridge:subset
vpc_0301	vpc	['35-32', '35-33']	Mr. Zapfel	person	old	coref	Mr.	Mr.	nsubj	NNP	Sing	35	32	1056	['37-8', '37-9', '37-10']	the new chancellor	none	new	sgl	chancellor	chancellor	nsubj	NN	Sing	37	10	1222	person_none	Mr._chancellor	nsubj_nsubj	NNP_NN	Sing_Sing	166	0	0	
wsjarrau_1988	wsjarrau	['2-9']	August	time	old	coref	August	August	obl	NNP	Sing	2	9	47	['4-5']	August	time	old	coref	August	August	obl	NNP	Sing	4	5	99	time_time	August_August	obl_obl	NNP_NNP	Sing_Sing	52	1	0	
wsjarrau_1349	wsjarrau	['16-25', '16-26', '16-27', '16-28', '16-29', '16-30', '16-31', '16-32', '16-33', '16-34', '16-35', '16-36', '16-37', '16-38', '16-39']	having to put up any matching funds on repairs completed in the next six months	abstract	new	sgl	having	have	advcl	VBG		16	25	645	['17-8', '17-9']	skilled legislator	none	new	sgl	legislator	legislator	conj	NN	Sing	17	9	669	abstract_none	have_legislator	advcl_conj	VBG_NN	N/A_Sing	24	0	0	
wsjarrau_0690	wsjarrau	['6-34']	its	abstract	old	coref	its	its	nmod:poss	PRP$	Sing	6	34	181	['9-23', '9-24', '9-25']	The anecdotal data	abstract	new	coref	data	datum	nsubj	NN	Plur	9	25	270	abstract_abstract	its_datum	nmod:poss_nsubj	PRP$_NN	Sing_Plur	89	0	1	bridge:subset
wsjarrau_0693	wsjarrau	['17-16', '17-17']	the pound	abstract	old	coref	pound	pound	nmod	NN	Sing	17	17	590	['20-10', '20-11']	the pound	abstract	old	coref	pound	pound	nmod	NN	Sing	20	11	764	abstract_abstract	pound_pound	nmod_nmod	NN_NN	Sing_Sing	174	1	0	
wsjarrau_1157	wsjarrau	['13-11']	insider	person	old	coref	insider	insider	compound	NN	Sing	13	11	285	['14-1', '14-2', '14-3', '14-4', '14-5', '14-6', '14-7', '14-8', '14-9', '14-10', '14-11', '14-12', '14-13']	John C. Holt , an executive vice president and Dun & Bradstreet director	person	new	coref	John	John	nsubj	NNP	Sing	14	1	294	person_person	insider_John	compound_nsubj	NN_NNP	Sing_Sing	9	0	1	bridge:element
vpc_0765	vpc	['24-30', '24-31']	a recession	abstract	new	sgl	recession	recession	nsubj	NN	Sing	24	31	650	['26-15', '26-16', '26-17', '26-18', '26-19', '26-20', '26-21', '26-22', '26-23', '26-24']	a unifier for a city recently touched by racial violence	abstract	new	sgl	unifier	unifier	obl	NN	Sing	26	16	755	abstract_abstract	recession_unifier	nsubj_obl	NN_NN	Sing_Sing	105	0	0	
wsjarrau_1139	wsjarrau	['1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7']	Sales of North American-built cars and trucks	abstract	new	sgl	Sales	sale	nsubj	NNS	Plur	1	1	1	['1-32']	People	person	new	sgl	People	people	nsubj	NNS	Plur	1	32	32	abstract_person	sale_people	nsubj_nsubj	NNS_NNS	Plur_Plur	31	0	0	
wsjarrau_1190	wsjarrau	['13-4', '13-5']	Tele-Communications '	organization	old	coref	Tele-Communications	Tele-Communications	nmod:poss	NNPS	Plur	13	4	316	['14-12']	Tele-Communications	organization	old	coref	Tele-Communications	Tele-Communications	compound	NNPS	Plur	14	12	344	organization_organization	Tele-Communications_Tele-Communications	nmod:poss_compound	NNPS_NNPS	Plur_Plur	28	1	0	
wsjarrau_1302	wsjarrau	['74-1', '74-2']	Lloyd 's	organization	old	coref	Lloyd	Lloyd	nsubj	NNP	Sing	74	1	1814	['83-1', '83-2']	Lloyd 's	organization	old	coref	Lloyd	Lloyd	nmod:poss	NNP	Sing	83	1	1973	organization_organization	Lloyd_Lloyd	nsubj_nmod:poss	NNP_NNP	Sing_Sing	159	1	0	
wsjarrau_1146	wsjarrau	['1-2']	Polish	organization	new	coref	Polish	Polish	amod	JJ		1	2	2	['2-22', '2-23', '2-24']	the state 's	organization	new	coref	state	state	nmod:poss	NN	Sing	2	23	32	organization_organization	Polish_state	amod_nmod:poss	JJ_NN	N/A_Sing	30	0	1	bridge:undersp-rel
wsjarrau_1334	wsjarrau	['4-1']	It	organization	old	coref	It	it	nsubj	PRP	Sing	4	1	88	['6-3', '6-4']	Integrated 's	organization	old	coref	Integrated	integrate	nmod:poss	VBN		6	3	122	organization_organization	it_integrate	nsubj_nmod:poss	PRP_VBN	Sing_N/A	34	1	0	
vpc_0301	vpc	['11-1', '11-2', '11-3', '11-4', '11-5']	Those with a bullish view	person	new	sgl	Those	those	nsubj	DT	Plur	11	1	255	['25-34']	stock	abstract	old	coref	stock	stock	compound	NN	Sing	25	34	681	person_abstract	those_stock	nsubj_compound	DT_NN	Plur_Sing	426	0	0	
wsjarrau_1353	wsjarrau	['7-11', '7-12']	major freeways	concrete	new	sgl	freeways	freeway	obl	NNS	Plur	7	12	148	['8-17']	freeway	concrete	new	coref	freeway	freeway	compound	NN	Sing	8	17	189	concrete_concrete	freeway_freeway	obl_compound	NNS_NN	Plur_Sing	41	0	1	bridge:subset
wsjarrau_1970	wsjarrau	['18-9']	U.S.	organization	old	coref	U.S.	U.S.	compound	NNP	Sing	18	9	606	['20-25']	U.S.	organization	old	coref	U.S.	U.S.	compound	NNP	Sing	20	25	701	organization_organization	U.S._U.S.	compound_compound	NNP_NNP	Sing_Sing	95	1	0	
wsjarrau_1307	wsjarrau	['19-1', '19-2', '19-3', '19-4', '19-5', '19-6', '19-7']	The CIA 's Deputy Director of Operations	none	new	sgl	Director	Director	nsubj	NNP	Sing	19	5	418	['19-26', '19-27', '19-28']	Mr. Webster 's	person	old	coref	Mr.	Mr.	nmod:poss	NNP	Sing	19	26	439	none_person	Director_Mr.	nsubj_nmod:poss	NNP_NNP	Sing_Sing	21	0	0	
